Incident energy;MT=102 : (z,γ);MT=18 : (z,fission)
Incident energy;;
Incident energy;σ(E);σ(E)
7.6528;3.759068;2.932652
7.681825;3.746245;2.506209
7.699966;3.728635;2.264883
7.718107;3.706998;2.067631
7.736248;3.685395;1.926469
7.754388;3.667903;1.844788
7.767812;3.659603;1.820683
7.781235;3.656361;1.82415
7.793569;3.658381;1.848473
7.816696;3.675914;1.938383
7.839823;3.711577;2.072258
7.86295;3.764761;2.238024
7.886077;3.83449;2.428253
7.932331;4.020802;2.869904
7.978585;4.27007;3.395362
8.024839;4.587837;4.023382
8.071093;4.984607;4.784815
8.09422;5.218448;5.2303
8.117347;5.48017;5.729186
8.140474;5.773393;6.290202
8.1636;6.102273;6.923351
8.19752;6.660072;8.008394
8.23144;7.326608;9.324137
8.26536;8.130167;10.93669
8.299279;9.109489;12.93655
8.316239;9.681228;14.1195
8.333199;10.31881;15.45049
8.350159;11.03267;16.95399
8.367118;11.83536;18.65942
8.384078;12.74226;20.60289
8.401038;13.77209;22.82844
8.417998;14.9483;25.39119
8.434957;16.30056;28.36112
8.459625;18.66353;33.60075
8.477257;20.72113;38.2053
8.494888;23.17899;43.74659
8.512519;26.15086;50.49494
8.53015;29.79256;58.82197
8.547782;34.32253;69.25099
8.556598;37.01306;75.47624
8.565413;40.05135;82.53032
8.574229;43.49856;90.56173
8.583044;47.4261;99.74483
8.59186;51.92041;110.2916
8.600675;57.0807;122.4471
8.608091;62.02238;134.1294
8.615507;67.59374;147.3452
8.622923;73.8774;162.3032
8.630338;80.95874;179.2219
8.637754;88.92633;198.3305
8.645169;97.85979;219.8407
8.652585;107.8317;243.9509
8.66;118.8891;270.8025
8.671183;137.653;316.6372
8.682366;158.8008;368.6928
8.693549;181.9136;426.0818
8.704732;206.2158;487.0429
8.715915;230.5625;548.8897
8.727098;253.4983;608.1293
8.738281;273.3943;660.7759
8.749463;288.6525;702.835
8.759682;297.4059;729.0958
8.7699;300.509;741.8468
8.777713;298.9123;741.9664
8.785525;293.9563;733.8287
8.80115;275.0553;695.0774
8.811906;256.5423;654.306
8.822661;235.1413;605.7946
8.844171;189.3027;499.1433
8.865681;146.7935;397.9547
8.876436;128.4523;353.6959
8.887191;112.3692;314.5656
8.895938;100.9382;286.5469
8.904685;90.90058;261.7766
8.913432;82.13805;239.9993
8.922178;74.51597;220.9133
8.930925;67.89356;204.1951
8.939672;62.13836;189.5368
8.948419;57.12818;176.6515
8.957165;52.75523;165.2843
8.974659;45.55815;146.2401
8.992152;39.96021;131.0022
9.009645;35.55293;118.5893
9.027138;32.06008;108.3346
9.041869;29.6916;101.0395
9.0566;27.76979;94.77619
9.07765;25.71821;87.39371
9.0987;24.45729;81.72634
9.11975;24.05994;77.83095
9.130275;24.24191;76.63074
9.1408;24.72415;76.00491
9.151325;25.54976;76.0281
9.16185;26.76433;76.78293
9.171338;28.2272;78.15712
9.180825;30.061;80.23734
9.190313;32.271;83.04576
9.1998;34.83724;86.56447
9.218775;40.79636;95.38793
9.23775;47.07587;105.3533
9.24891;50.37909;110.8446
9.260069;53.00926;115.3896
9.271229;54.68554;118.4725
9.282388;55.20506;119.6936
9.288775;54.94275;119.4637
9.298357;53.79019;117.8261
9.307938;51.79254;114.7143
9.317519;49.07845;110.3141
9.3271;45.81998;104.8943
9.351103;36.5371;88.93996
9.363104;31.94954;80.81848
9.375105;27.73336;73.20931
9.387107;24.02096;66.3748
9.399108;20.86009;60.43214
9.411109;18.23428;55.38363
9.42311;16.08883;51.15923
9.434566;14.42292;47.79773
9.446022;13.06479;44.98906
9.457478;11.95555;42.63781
9.468933;11.04523;40.66122
9.480389;10.29316;38.99067
9.491844;9.667709;37.57229
9.514755;8.704743;35.33362
9.537667;8.023909;33.71639
9.560578;7.549816;32.59069
9.583489;7.239112;31.88106
9.6064;7.065527;31.53555
9.636375;7.012755;31.53865
9.681338;7.188452;32.04018
9.703819;7.307355;32.16276
9.7263;7.377023;31.92693
9.741275;7.370909;31.48487
9.763738;7.258686;30.33386
9.7862;7.019737;28.63678
9.8461;6.033404;22.8284
9.870147;5.659654;20.63294
9.894194;5.377546;18.75763
9.918241;5.218881;17.2426
9.942288;5.211319;16.08211
9.956716;5.295128;15.55279
9.971144;5.461577;15.15462
9.985572;5.731803;14.90412
10.0;6.136367;14.8332
10.014;6.697037;14.98548
10.02625;7.361988;15.3522
10.0385;8.228599;15.99964
10.05075;9.333657;16.99713
10.063;10.70549;18.41416
10.07525;12.3528;20.30564
10.0875;14.25172;22.69206
10.09975;16.33458;25.53808
10.112;18.48443;28.73544
10.13;21.41942;33.66283
10.13897;22.61996;35.99664
10.14794;23.55011;38.09814
10.15691;24.15154;39.85914
10.16588;24.38463;41.18829
10.17763;24.10874;42.17139
10.18854;23.28762;42.26886
10.19944;21.99979;41.61153
10.21035;20.35525;40.29572
10.22125;18.48875;38.4697
10.24263;14.67203;34.05358
10.25332;12.88428;31.73333
10.264;11.26527;29.49833
10.27469;9.842703;27.42097
10.28538;8.625981;25.54716
10.29607;7.606097;23.89328
10.30675;6.764317;22.45694
10.31566;6.17998;21.41223
10.32457;5.687227;20.4933
10.33348;5.272025;19.68571
10.34238;4.922034;18.97586
10.36019;4.373453;17.79372
10.378;3.972591;16.85686
10.39225;3.726287;16.23847
10.4065;3.52815;15.70935
10.435;3.233621;14.84989
10.4635;3.030789;14.18056
10.492;2.888789;13.64633
10.5205;2.79029;13.21581
10.549;2.725014;12.87187
10.606;2.672286;12.42982
10.6345;2.680452;12.35544
10.663;2.710882;12.41469
10.696;2.770179;12.67818
10.729;2.841917;13.10968
10.762;2.904044;13.54934
10.795;2.940597;13.78921
10.839;2.959194;13.64409
10.90133;3.013143;12.94812
10.96365;3.171855;12.37324
11.02597;3.446126;12.08965
11.08829;3.848814;12.02485
11.12569;4.16834;12.06903
11.16308;4.564301;12.17141
11.20047;5.061731;12.33527
11.23786;5.699855;12.5699
11.27526;6.538441;12.8909
11.29396;7.060229;13.09091
11.31265;7.671232;13.32258
11.33135;8.394719;13.5919
11.35004;9.260898;13.90623
11.36874;10.31439;14.27641
11.38743;11.6175;14.7168
11.40457;13.11338;15.20068
11.42171;15.01353;15.78602
11.43028;16.16832;16.12766
11.43885;17.50054;16.51003
11.44742;19.05281;16.9413
11.45598;20.879;17.43129
